MICHELIN_NM,FCLTY_NM,RDNMADR_NM,AREA_NM,CTPRVN_ENG_NM,SIGNGU_ENGL_NM,CTPRVN_JLANG_NM,SIGNGU_JLANG_NM,CTPRVN_SIMCH_CHNLNG_NM,SIGNGU_SIMCH_CHNLNG_NM,SIGNGU_TRACH_CHNLNG_NM,CTPRVN_CD,SIGNGU_CD,FCLTY_LO,FCLTY_LA,HMPG_URL,TEL_NO,REPRSNT_MENU_NM,FOOD_SPND_PRICE,BASE_DE
더플레이트미쉐린,하모,"서울특별시 강남구 언주로 819, 2층",서울,Seoul Metropolitan Government,Gangnam-gu,ソウル特別市,江南?,首?特?市,江南?,江南區,11,11680,127.032753,37.523348,www.hamo-kitchen.com,02-515-4266,한식,"9,000 - 50,000",2021-12-31
더플레이트미쉐린,삼원가든,서울특별시 강남구 언주로 835,서울,Seoul Metropolitan Government,Gangnam-gu,ソウル特別市,江南?,首?特?市,江南?,江南區,11,11680,127.032574,37.524995,www.samwongarden.com,02-548-3030,바비큐,"11,000 - 143,000",2021-12-31
더플레이트미쉐린,곰바위,서울특별시 강남구 영동대로 115길 10,서울,Seoul Metropolitan Government,Gangnam-gu,ソウル特別市,江南?,首?特?市,江南?,江南區,11,11680,127.058812,37.514872,www.gbw.co.kr,02-511-0068,바비큐,"8,000 - 88,000",2021-12-31
더플레이트미쉐린,라이프,"서울특별시 강남구 영동대로 96길 26, 9층",서울,Seoul Metropolitan Government,Gangnam-gu,ソウル特別市,江南?,首?特?市,江南?,江南區,11,11680,127.064833,37.510956,,02-8715-1139,바비큐,"250,000",2021-12-31
더플레이트미쉐린,하코네,"서울특별시 강남구 테헤란로 521, 그랜드 인터컨티넨탈 파르나스 호텔 1층",서울,Seoul Metropolitan Government,Gangnam-gu,ソウル特別市,江南?,首?特?市,江南?,江南區,11,11680,127.060806,37.509194,https://seoul.intercontinental.com,02-559-7623,일식,"35,000 - 280,000",2021-12-31
더플레이트미쉐린,보름쇠,서울특별시 강남구 테헤란로 81길 36,서울,Seoul Metropolitan Government,Gangnam-gu,ソウル特別市,江南?,首?特?市,江南?,江南區,11,11680,127.056642,37.509323,,02-569-9967,바비큐,"9,000 - 88,000",2021-12-31
2스타 미쉐린,알라프리마,서울특별시 강남구 학동로 17길 13,서울,Seoul Metropolitan Government,Gangnam-gu,ソウル特別市,江南?,首?特?市,江南?,江南區,11,11680,127.02598,37.513498,,02-511-2555,창작,"77,000 - 178,000",2021-12-31
빕구르망,진미평양냉면,서울특별시 강남구 학동로 305-3,서울,Seoul Metropolitan Government,Gangnam-gu,ソウル特別市,江南?,首?特?市,江南?,江南區,11,11680,127.036036,37.516157,,02-515-3469,냉면,"11,000 - 80,000",2021-12-31
1스타 미쉐린,묘미,서울특별시 강남구 학동로 53길 20,서울,Seoul Metropolitan Government,Gangnam-gu,ソウル特別市,江南?,首?特?市,江南?,江南區,11,11680,127.04,37.518433,,02-515-8088,코리아 컨템퍼러리,"50,000 - 140,000",2021-12-31
1스타 미쉐린,무오키,"서울특별시 강남구 학동로 55길 12-12, 2층",서울,Seoul Metropolitan Government,Gangnam-gu,ソウル特別市,江南?,首?特?市,江南?,江南區,11,11680,127.042244,37.519019,www.muoki.kr,02-2948-4171,창작,"60,000 - 135,000",2021-12-31
더플레이트미쉐린,톡톡,"서울특별시 강남구 학동로 97길 41, 3층",서울,Seoul Metropolitan Government,Gangnam-gu,ソウル特別市,江南?,首?特?市,江南?,江南區,11,11680,127.054294,37.522378,www.toctocseoul.com,02-3397-2215,유러피안컨템퍼러리,"45,000 - 147,000",2021-12-31
빕구르망,황금콩밭,서울특별시 마포구 굴레방로 1길 6,서울,Seoul Metropolitan Government,Mapo-gu,ソウル特別市,麻浦?,首?特?市,麻浦?,麻浦區,11,11440,126.956579,37.554497,,02-313-2952,두부,"7,000 - 65,000",2021-12-31
